Timestamp,Ping Time (ms)
2025-02-19 15:54:31,1.24
2025-02-19 15:54:31,2.66
2025-02-19 15:54:31,1.24
2025-02-19 15:54:31,2.40
2025-02-19 15:54:32,0.992
2025-02-19 15:54:32,2.22
2025-02-19 15:54:32,1.41
2025-02-19 15:54:32,1.24
2025-02-19 15:54:32,1.13
2025-02-19 15:54:32,0.962
2025-02-19 15:54:32,1.01
2025-02-19 15:54:32,1.14
2025-02-19 15:54:32,1.32
2025-02-19 15:54:33,1.13
2025-02-19 15:54:33,1.29
2025-02-19 15:54:33,1.04
2025-02-19 15:54:33,1.18
2025-02-19 15:54:33,0.954
2025-02-19 15:54:33,1.02
2025-02-19 15:54:33,1.37
2025-02-19 15:54:33,1.15
2025-02-19 15:54:33,1.16
2025-02-19 15:54:34,1.29
2025-02-19 15:54:34,1.16
2025-02-19 15:54:34,1.73
2025-02-19 15:54:34,1.26
2025-02-19 15:54:34,1.39
2025-02-19 15:54:34,1.20
2025-02-19 15:54:34,1.05
2025-02-19 15:54:34,1.13
2025-02-19 15:54:34,0.978
2025-02-19 15:54:34,1.39
2025-02-19 15:54:35,1.08
2025-02-19 15:54:35,1.14
2025-02-19 15:54:35,1.26
2025-02-19 15:54:35,1.47
2025-02-19 15:54:35,1.10
2025-02-19 15:54:35,1.28
2025-02-19 15:54:35,1.02
2025-02-19 15:54:35,1.01
2025-02-19 15:54:35,1.61
2025-02-19 15:54:36,0.981
2025-02-19 15:54:36,1.07
2025-02-19 15:54:36,1.30
2025-02-19 15:54:36,1.21
2025-02-19 15:54:36,1.14
2025-02-19 15:54:36,1.15
2025-02-19 15:54:36,1.84
2025-02-19 15:54:36,1.04
2025-02-19 15:54:36,1.24
2025-02-19 15:54:36,1.94
2025-02-19 15:54:37,0.990
2025-02-19 15:54:37,1.05
2025-02-19 15:54:37,1.45
2025-02-19 15:54:37,2.47
2025-02-19 15:54:37,1.35
2025-02-19 15:54:37,2.28
2025-02-19 15:54:37,1.28
2025-02-19 15:54:37,1.31
2025-02-19 15:54:37,2.16
2025-02-19 15:54:38,1.37
2025-02-19 15:54:38,1.28
2025-02-19 15:54:38,1.07
2025-02-19 15:54:38,1.24
2025-02-19 15:54:38,1.10
2025-02-19 15:54:38,1.27
2025-02-19 15:54:38,1.13
