Timestamp,Ping Time (ms)
2025-02-17 22:37:06,2.22
2025-02-17 22:37:06,1.19
2025-02-17 22:37:06,1.28
2025-02-17 22:37:06,1.89
2025-02-17 22:37:06,1.21
2025-02-17 22:37:06,1.41
2025-02-17 22:37:06,1.37
2025-02-17 22:37:06,1.98
2025-02-17 22:37:06,1.92
2025-02-17 22:37:06,1.90
2025-02-17 22:37:07,1.31
2025-02-17 22:37:07,1.22
2025-02-17 22:37:07,1.43
2025-02-17 22:37:07,1.57
2025-02-17 22:37:07,1.33
2025-02-17 22:37:07,1.14
2025-02-17 22:37:07,1.32
2025-02-17 22:37:07,1.25
2025-02-17 22:37:07,1.34
2025-02-17 22:37:08,1.37
2025-02-17 22:37:08,2.05
2025-02-17 22:37:08,1.37
2025-02-17 22:37:08,1.24
2025-02-17 22:37:08,1.88
2025-02-17 22:37:08,1.23
2025-02-17 22:37:08,1.45
2025-02-17 22:37:08,1.64
2025-02-17 22:37:08,1.46
2025-02-17 22:37:08,1.25
2025-02-17 22:37:09,1.28
2025-02-17 22:37:09,1.22
2025-02-17 22:37:09,1.58
2025-02-17 22:37:09,1.58
2025-02-17 22:37:09,1.28
2025-02-17 22:37:09,1.20
2025-02-17 22:37:09,1.36
2025-02-17 22:37:09,1.16
2025-02-17 22:37:09,1.53
2025-02-17 22:37:10,1.27
2025-02-17 22:37:10,1.34
2025-02-17 22:37:10,1.40
2025-02-17 22:37:10,1.31
2025-02-17 22:37:10,1.73
2025-02-17 22:37:10,1.30
2025-02-17 22:37:10,1.27
2025-02-17 22:37:10,1.25
2025-02-17 22:37:10,1.14
2025-02-17 22:37:11,1.15
2025-02-17 22:37:11,1.13
2025-02-17 22:37:11,2.19
2025-02-17 22:37:11,1.20
2025-02-17 22:37:11,1.21
2025-02-17 22:37:11,1.18
2025-02-17 22:37:11,1.20
2025-02-17 22:37:11,1.36
2025-02-17 22:37:11,1.14
2025-02-17 22:37:11,1.59
2025-02-17 22:37:12,1.39
2025-02-17 22:37:12,2.22
2025-02-17 22:37:12,2.24
2025-02-17 22:37:12,1.66
2025-02-17 22:37:12,2.73
2025-02-17 22:37:12,1.16
2025-02-17 22:37:12,1.16
2025-02-17 22:37:12,1.23
2025-02-17 22:37:12,1.36
2025-02-17 22:37:13,1.55
2025-02-17 22:37:13,1.14
2025-02-17 22:37:13,1.15
2025-02-17 22:37:13,1.43
2025-02-17 22:37:13,1.20
2025-02-17 22:37:13,1.40
2025-02-17 22:37:13,1.16
2025-02-17 22:37:13,2.59
2025-02-17 22:37:13,1.23
2025-02-17 22:37:13,1.57
2025-02-17 22:37:14,3.29
2025-02-17 22:37:14,1.23
2025-02-17 22:37:14,1.24
2025-02-17 22:37:14,2.18
2025-02-17 22:37:14,1.09
2025-02-17 22:37:14,2.08
2025-02-17 22:37:14,1.14
2025-02-17 22:37:14,1.33
2025-02-17 22:37:14,1.50
2025-02-17 22:37:15,1.76
2025-02-17 22:37:15,1.20
2025-02-17 22:37:15,1.15
2025-02-17 22:37:15,1.34
2025-02-17 22:37:15,1.44
2025-02-17 22:37:15,1.28
2025-02-17 22:37:15,1.67
2025-02-17 22:37:15,1.12
2025-02-17 22:37:15,1.19
2025-02-17 22:37:15,1.12
2025-02-17 22:37:16,1.24
2025-02-17 22:37:16,1.28
2025-02-17 22:37:16,1.24
2025-02-17 22:37:16,1.21
2025-02-17 22:37:16,1.18
2025-02-17 22:37:16,1.29
2025-02-17 22:37:16,1.18
2025-02-17 22:37:16,1.13
2025-02-17 22:37:16,1.11
2025-02-17 22:37:17,1.14
2025-02-17 22:37:17,1.61
2025-02-17 22:37:17,1.28
2025-02-17 22:37:17,1.26
2025-02-17 22:37:17,1.56
2025-02-17 22:37:17,1.45
2025-02-17 22:37:17,2.56
2025-02-17 22:37:17,1.63
2025-02-17 22:37:17,1.17
2025-02-17 22:37:17,2.32
2025-02-17 22:37:18,1.28
2025-02-17 22:37:18,2.64
2025-02-17 22:37:18,1.36
2025-02-17 22:37:18,1.37
2025-02-17 22:37:18,2.13
2025-02-17 22:37:18,1.21
2025-02-17 22:37:18,1.23
2025-02-17 22:37:18,1.33
2025-02-17 22:37:18,1.29
2025-02-17 22:37:19,1.27
2025-02-17 22:37:19,1.15
2025-02-17 22:37:19,1.29
2025-02-17 22:37:19,2.17
